void_id,title,channel_title,category_id,published_at,view_count,like_count,comment_count,category_name,engagement_ratio
jC6M3-6rhM0,"Kaantha - Official Trailer | Dulquer S, Samuthirakani, Bhagyashri B, Rana D | Selvamani S | Nov 14",Dharma Productions,1,2025-11-07 05:34:08+00:00,449409,10089,320,Film & Animation,0.02316153
q823nSfc7Dw,GRANNY 1 KHELE 🔥 #shortsfeed #shortslive #chainedtogethergame #shorts #live #wormateio,VISHDEE is LIVE,20,2025-11-09 21:52:34+00:00,450996,7093,0,Gaming,0.015727412
ClX_TZiBFiU,The Thaandavam Song Promo - Akhanda 2 Thaandavam | NBK | Boyapati Srinu | Thaman S,Aditya Music,10,2025-11-07 14:36:01+00:00,867089,37084,1072,Music,0.04400471
m43HC9T9YM8,Mastiii 4 - Official Trailer| Riteish Deshmukh | Vivek Oberoi | Aftab Shivdasani | 21st Nov,Zee Studios,1,2025-11-04 06:40:28+00:00,11266902,166663,32121,Film & Animation,0.017643182
Es_qFp_ZGfU,Dirt Lucky Block vs Rainbow Lucky Block in Minecraft..,Karry Kraft,20,2025-11-08 11:42:04+00:00,601398,6597,269,Gaming,0.011416732
ojKMer087-Y,"Garmi Movie Song | ओढ़नी के कोर | Aashish Yadav, Srishti Bharti | गर्मी | Romantic Movie Song 2025",Viral Bhojpuri ,10,2025-11-08 07:41:56+00:00,150242,1720,40,Music,0.011714434
JZzv8JdggSA,VIRUS-ΔX7 | Official Trailer | Hrithik Roshan | Amitabh Bachchan| New Movie Trailer |Trailers 2025,Phantom Pictures™,24,2025-11-08 11:35:42+00:00,111351,602,31,Entertainment,0.005684727
O5wfNsc1Kpk,NEW UPDATE ME YE KYA AA GAYA ? DESI GAMERS,Desi Gamers,20,2025-11-09 03:12:49+00:00,335131,22966,2148,Gaming,0.07493786
fgUMNtCXquM,Mehrama - (Extended) Audio Lyrical | Love Aaj Kal | Kartik | Sara | Pritam | Darshan Raval | Antara,Sony Music India,10,2025-11-07 13:15:12+00:00,1054802,2891,48,Music,0.002786305
csbXpuIMAJc,The Family Man Season 3 Trailer REVIEW | Deeksha Sharma,Filmi Indian,24,2025-11-07 11:28:35+00:00,252473,7990,184,Entertainment,0.032375739
